method,source,source_label,primary_param,primary_value,precision@10,recall@10,fscore@10,map@10,ndcg@10,mrr@10,runtime_seconds
baseline_tfidf,baseline,baseline_tfidf,-,-,0.28088888888888897,0.41344049833552704,0.30965631901471996,0.3108009885022162,0.46978213403312014,0.7418148148148147,0.1149449348449707
tfidf,tfidf,TF-IDF soft cosine,top_k_neighbors,5,0.28177777777777785,0.40638696962319637,0.3074366103973043,0.303087086970054,0.4500110096720832,0.7112857142857143,27.47444748878479
lsa,lsa,LSA soft cosine,n_components,150,0.2866666666666667,0.41579663498640046,0.3143217977231621,0.3024990410411805,0.44461084162776887,0.6848730158730155,64.09142208099365
esa,esa,ESA soft cosine,top_concepts,50,0.2848888888888889,0.4131088569424821,0.3124527189051948,0.30748830426257906,0.4549142179885928,0.7167072310405643,32.06361436843872
wordnet,wordnet,WordNet soft cosine,top_k_neighbors,5,0.24133333333333337,0.36043892837317276,0.26753892198521173,0.26161947464929886,0.4137811580120084,0.680694885361552,370.83346462249756
