qd_space,s_source,precision@10,recall@10,fscore@10,map@10,ndcg@10,mrr@10
unigram_tfidf,tfidf,0.28177777777777785,0.40745859780008775,0.3081046186369452,0.3010754255740639,0.44811949258277606,0.7107425044091711
unigram_tfidf,lsa,0.2866666666666667,0.41579663498640046,0.3143217977231621,0.3024990410411805,0.44461084162776887,0.6848730158730155
unigram_tfidf,esa,0.2826666666666667,0.4096591214927467,0.3097816949400532,0.30568848062942217,0.4531397429434091,0.7169294532627866
unigram_tfidf,wordnet,0.24133333333333337,0.36043892837317276,0.26753892198521173,0.26161947464929886,0.4137811580120084,0.680694885361552
unigram_tfidf,word2vec,0.27466666666666667,0.39959857786149044,0.30182811645174235,0.29356018329447103,0.4391084569287456,0.6881058201058201
bigram_tfidf,tfidf,0.2542222222222223,0.37274192630890624,0.2800612748811713,0.27036255502187706,0.4119727957587814,0.668753086419753
bigram_tfidf,lsa,0.25866666666666677,0.3752651178470404,0.2844633445902473,0.2661365808763168,0.3961050629786333,0.6287601410934744
bigram_tfidf,esa,0.25555555555555576,0.3724447000783467,0.28136957022529346,0.2736875253350787,0.41213407362959137,0.6587495590828926
bigram_tfidf,wordnet,0.2600000000000001,0.382803087828272,0.2869991952763067,0.29280275982418535,0.44088468060180647,0.713336860670194
bigram_tfidf,word2vec,0.2840000000000001,0.4133061641628455,0.31263576400824633,0.31378785811692106,0.46081791907049985,0.7250987654320987
