method,source,source_label,precision@10,recall@10,fscore@10,map@10,ndcg@10,mrr@10,runtime_seconds,model_coverage,baseline_map@10,gain_vs_scratch_map@10,gain_vs_scratch_ndcg@10
word2vec_average,scratch,scratch-trained,0.22977777777777808,0.33325477911647466,0.251917175458694,0.22298601957287464,0.3648888265822556,0.612700176366843,98.69227075576782,1.0,0.3060628165782077,0.0,0.0
word2vec_average,pretrained,pretrained:glove-wiki-gigaword-100,0.10844444444444444,0.1525131268297028,0.11810078824738388,0.09407197114783795,0.17990472146308842,0.3653227513227514,2.2995026111602783,0.4573466476462197,0.3060628165782077,-0.12891404842503668,-0.18498410511916716
word2vec_average,finetuned,finetuned:glove-wiki-gigaword-100,0.20622222222222253,0.304191292784361,0.22793823522646117,0.19830526491109504,0.33680358474731964,0.5754179894179894,2.526648759841919,1.0,0.3060628165782077,-0.024680754661779603,-0.028085241834935937
word2vec_idf_weighted,scratch,scratch-trained,0.2484444444444445,0.37147998057967485,0.27567113046102165,0.26241587601804967,0.4084402505110263,0.6723421516754851,93.08420753479004,1.0,0.3060628165782077,0.0,0.0
word2vec_idf_weighted,pretrained,pretrained:glove-wiki-gigaword-100,0.12088888888888888,0.1723421714005431,0.131903424429641,0.10553228998152281,0.19454712707400904,0.3791428571428571,2.575502872467041,0.4573466476462197,0.3060628165782077,-0.15688358603652686,-0.21389312343701725
word2vec_idf_weighted,finetuned,finetuned:glove-wiki-gigaword-100,0.21111111111111128,0.31349884973835757,0.23377604010057879,0.2104712071385517,0.342049426438754,0.5759382716049383,2.669297695159912,1.0,0.3060628165782077,-0.051944668879497974,-0.06639082407227226
soft_cosine_word2vec,scratch,scratch-trained,0.2755555555555557,0.3989574268948705,0.30211209726495103,0.2917453773876587,0.4371874467674942,0.7018112874779541,211.4507279396057,1.0,0.3060628165782077,0.0,0.0
soft_cosine_word2vec,pretrained,pretrained:glove-wiki-gigaword-100,0.26844444444444454,0.3887237606708836,0.2938545408307041,0.29080625224802875,0.441934155921701,0.7268253968253968,2.368480682373047,0.4573466476462197,0.3060628165782077,-0.0009391251396299594,0.004746709154206774
soft_cosine_word2vec,finetuned,finetuned:glove-wiki-gigaword-100,0.262666666666667,0.38036858941655943,0.2882946597773155,0.274772660730963,0.4241302085751281,0.6940264550264548,4.095096826553345,1.0,0.3060628165782077,-0.016972716656695697,-0.013057238192366094
