method,precision@10,recall@10,fscore@10,map@10,ndcg@10,mrr@10,runtime_seconds
soft cosine (S from TF-IDF),0.28177777777777785,0.40638696962319637,0.3074366103973043,0.303087086970054,0.4500110096720832,0.7112857142857143,27.47444748878479
soft cosine (S from LSA),0.2866666666666667,0.41579663498640046,0.3143217977231621,0.3024990410411805,0.44461084162776887,0.6848730158730155,64.09142208099365
soft cosine (S from ESA),0.2848888888888889,0.4131088569424821,0.3124527189051948,0.30748830426257906,0.4549142179885928,0.7167072310405643,32.06361436843872
soft cosine (S from WordNet),0.24133333333333337,0.36043892837317276,0.26753892198521173,0.26161947464929886,0.4137811580120084,0.680694885361552,370.83346462249756
soft cosine (S from Word2Vec),0.2755555555555557,0.3989574268948705,0.30211209726495103,0.2917453773876587,0.4371874467674942,0.7018112874779541,211.4507279396057
