method,precision@10,recall@10,fscore@10,map@10,ndcg@10,mrr@10,runtime_seconds
baseline_tfidf,0.28311111111111126,0.40937964388315623,0.30986622378540024,0.3060628165782077,0.4611320915388798,0.7460970017636687,0.057521820068359375
sif_tfidf_term,0.3133333333333334,0.4513039650585825,0.34290863299671887,0.3527863098280885,0.5034370436000826,0.7768959435626102,14.25105881690979
sif_lsa_term,0.3311111111111112,0.4785499824753128,0.36286295351889175,0.3748074728783085,0.5160094134384564,0.7469365079365078,12.034698486328125
sif_esa_term,0.3102222222222223,0.44416047019669685,0.33875469774593925,0.35157868044323964,0.5028173098901413,0.7864197530864195,13.974113464355469
