method,precision@10,recall@10,fscore@10,map@10,ndcg@10,mrr@10,runtime_seconds
baseline_tfidf,0.2835555555555557,0.40999451439276363,0.31032959994045994,0.3025772846456973,0.4589211350766685,0.7368377425044094,1.6515891551971436
ngram_n2,0.27600000000000025,0.39938584110955927,0.30216025649388056,0.30436903331698445,0.46380427403104374,0.747915343915344,22.60830569267273
ngram_n3,0.27244444444444454,0.3955513082849549,0.29870266533531126,0.2954253001026803,0.45648761996729875,0.7303597883597881,53.02354097366333
ngram_n4,0.2720000000000001,0.3944049238052372,0.29797323480711907,0.2924043557506099,0.45475928967228746,0.7295202821869488,97.08036875724792
ngram_n5,0.2715555555555556,0.3941086275089408,0.2976176792515635,0.2901742196376307,0.45152349697648864,0.7242186948853614,164.5031304359436
ngram_n6,0.27066666666666667,0.3944768192300737,0.2971228391122789,0.2903018054202819,0.45208426372392174,0.7249171075837741,186.65271663665771
ngram_n7,0.2724444444444445,0.3964644735510613,0.2988822747383813,0.2906247873765971,0.45231858002045955,0.7226014109347442,235.29015135765076
ngram_n8,0.2724444444444445,0.39683484392143165,0.29896163981774637,0.2905892536569364,0.4526598735299714,0.7225767195767197,263.4002375602722
