method,precision@10,recall@10,fscore@10,map@10,ndcg@10,mrr@10
baseline_tfidf,0.2813333333333333,0.4004766597938976,0.30591327188433276,0.3023784410028705,0.454638732617823,0.7378730158730159
wordnet,0.2808888888888889,0.39984173915897697,0.3053903960673393,0.3019230226215261,0.45438141412834254,0.7378730158730159
embedding_tfidf,0.2808888888888889,0.39984173915897697,0.3053903960673393,0.30193399655842595,0.4543918331612328,0.7378730158730159
embedding_lsa,0.2808888888888889,0.39984173915897697,0.3053903960673393,0.30193399655842595,0.4543918331612328,0.7378730158730159
embedding_esa,0.2808888888888889,0.39984173915897697,0.3053903960673393,0.30193399655842595,0.4543918331612328,0.7378730158730159
embedding_word2vec,0.2808888888888889,0.39984173915897697,0.3053903960673393,0.30193399655842595,0.4543918331612328,0.7378730158730159
