method,precision@10,recall@10,fscore@10,map@10,ndcg@10,mrr@10
baseline_tfidf,0.2813333333333333,0.4004766597938976,0.30591327188433276,0.3023784410028705,0.454638732617823,0.7378730158730159
wordnet,0.28044444444444444,0.3999407450913162,0.305328393037112,0.3050916044148813,0.45800886781419464,0.7482010582010582
embedding_tfidf,0.2808888888888889,0.3993549666722045,0.30519411957694514,0.30138898753705246,0.4532385183769128,0.7371693121693121
embedding_lsa,0.2791111111111111,0.39855491097741197,0.3043403562514856,0.3008985608705897,0.45096293420908834,0.7334585537918871
embedding_esa,0.2808888888888889,0.39942904074627855,0.3052345236173492,0.3012889392999672,0.4534315496771741,0.7374656084656085
embedding_word2vec,0.28,0.3983265876438255,0.3043321950091382,0.30142440059883,0.45348971108167824,0.7371322751322752
