top_k_neighbors,min_similarity,similarity_power,vector_size,window,sg_label,epochs,representation_coverage,retained_neighbor_edges,avg_neighbors_per_term,precision_at_10,recall_at_10,fscore_at_10,map_at_10,ndcg_at_10,mrr_at_10
5,0.1,2.0,100,5,skipgram,20,1.0,30099,5.0,0.2786666666666669,0.40379305061555165,0.30553583794813505,0.29101948039507536,0.4393729314501032,0.6943121693121691
10,0.1,2.0,100,5,skipgram,20,1.0,60025,10.0,0.2755555555555557,0.3989574268948705,0.30211209726495103,0.2917453773876587,0.4371874467674942,0.7018112874779541
20,0.1,2.0,100,5,skipgram,20,1.0,119601,19.999144079885877,0.27333333333333354,0.39444235677980044,0.29915361818152925,0.2869233482129123,0.4307000711437056,0.6973615520282187
