top_k_neighbors,min_similarity,precision@10,recall@10,fscore@10,map@10,ndcg@10,mrr@10,runtime_seconds,represented_terms,representation_coverage,retained_neighbor_edges,avg_neighbors_per_term
5,0.05,0.28177777777777785,0.40638696962319637,0.3074366103973043,0.303087086970054,0.4500110096720832,0.7112857142857143,9.691979169845581,3405,1.0,13055,5.0
10,0.05,0.2817777777777778,0.4072248845146503,0.30798538831130184,0.3001052242046053,0.4448869212929057,0.7137301587301587,5.387649059295654,3405,1.0,24340,10.0
