n,best_orders,best_min_df,best_alpha,precision@10,recall@10,fscore@10,map@10,ndcg@10,mrr@10,context_feature_vocab_size
1,[2],3,0.5,0.29777777777777775,0.43034814707005026,0.32581766947107665,0.325495091062434,0.4842687496616241,0.7655361552028219,13999
2,[2],3,0.8,0.29466666666666674,0.425334317341029,0.3223737977266277,0.32607947402154674,0.4840392752785583,0.7708977072310406,27560
3,"[2, 3]",3,0.8,0.29600000000000004,0.4278944103344553,0.32376578336513956,0.3277102441971613,0.48894717981719854,0.7758130511463845,56631
4,[2],3,0.8,0.29377777777777786,0.4251484499270912,0.3214953779731081,0.3297117915646946,0.4883179837818228,0.7779241622574954,45535
5,[2],3,0.8,0.29111111111111115,0.4223901514354593,0.3188347869854476,0.325835812813418,0.4827350262103817,0.7711463844797177,51112
6,[2],3,0.8,0.2933333333333334,0.42546598917796385,0.3212286736629255,0.3273958827820658,0.48555742169717697,0.7719858906525572,55090
