vector_size,window,sg_label,epochs,model_coverage,avg_in_vocab_tokens_per_doc,avg_in_vocab_tokens_per_query,zero_vector_docs,zero_vector_queries,precision_at_10,recall_at_10,fscore_at_10,map_at_10,ndcg_at_10,mrr_at_10
50,5,skipgram,20,1.0,93.21214285714285,10.03111111111111,2,0,0.22488888888888908,0.33930579901075625,0.25034695964918435,0.22941227275006687,0.367359892397918,0.6173915343915346
100,5,skipgram,20,1.0,93.21214285714285,10.03111111111111,2,0,0.24133333333333346,0.3614962852626461,0.2678029405898076,0.2530633118600286,0.39612439718716624,0.6566525573192241
150,5,skipgram,20,1.0,93.21214285714285,10.03111111111111,2,0,0.2484444444444445,0.37147998057967485,0.27567113046102165,0.26241587601804967,0.4084402505110263,0.6723421516754851
