method,precision@10,recall@10,fscore@10,map@10,ndcg@10,mrr@10,runtime_seconds
baseline_tfidf,0.28311111111111126,0.40937964388315623,0.30986622378540024,0.3060628165782077,0.4611320915388798,0.7460970017636687,0.07498407363891602
word2vec_idf_weighted,0.2484444444444445,0.37147998057967485,0.27567113046102165,0.26241587601804967,0.4084402505110263,0.6723421516754851,93.08420753479004
