method,precision@10,recall@10,fscore@10,map@10,ndcg@10,mrr@10
baseline_tfidf,0.2813333333333333,0.4004766597938976,0.30591327188433276,0.3023784410028705,0.454638732617823,0.7378730158730159
embedding_lsa,0.27555555555555555,0.39273950777695127,0.3001279582824165,0.2986060507158363,0.4481743672614097,0.7384003527336861
