qd_space,s_source,space_type,precision@10,recall@10,fscore@10,map@10,ndcg@10,mrr@10
lsa_latent,identity,dense,0.3226666666666666,0.46414225324013253,0.3527356222130888,0.36651432229930364,0.5169476396210516,0.7951746031746032
lsa_latent,feature_cosine,dense,0.3226666666666666,0.46414225324013253,0.3527356222130888,0.36651432229930364,0.5169476396210516,0.7951746031746032
esa_concept,identity,dense,0.3133333333333332,0.44557579901142785,0.34125741617509087,0.3431486913628252,0.4979578817772783,0.7653562610229279
esa_concept,feature_cosine,dense,0.3177777777777776,0.4450491653423794,0.344339981421059,0.33933701649904285,0.47420063708582166,0.7131887125220459
local_context_bow,identity,sparse,0.292888888888889,0.4315663071464148,0.32365399713048654,0.33062034635397797,0.4949890634065992,0.7831922398589064
local_context_bow,lsa,sparse,0.29600000000000004,0.4262817570559821,0.32376974425860117,0.3290369214931567,0.4821636203187172,0.7549100529100529
local_context_bow,tfidf,sparse,0.2924444444444444,0.42014445331808065,0.3188705218123541,0.32271364522334167,0.4801050003247856,0.7663227513227512
bigram_tfidf,word2vec,sparse,0.2840000000000001,0.4133061641628455,0.31263576400824633,0.31378785811692106,0.46081791907049985,0.7250987654320987
unigram_tfidf,identity,sparse,0.28088888888888897,0.41344049833552704,0.30965631901471996,0.3108009885022162,0.4695961025132256,0.7418148148148147
unigram_tfidf,esa,sparse,0.2826666666666667,0.4096591214927467,0.3097816949400532,0.30568848062942217,0.4531397429434091,0.7169294532627866
unigram_tfidf,lsa,sparse,0.2866666666666667,0.41579663498640046,0.3143217977231621,0.3024990410411805,0.44461084162776887,0.6848730158730155
unigram_tfidf,tfidf,sparse,0.28177777777777785,0.40745859780008775,0.3081046186369452,0.3010754255740639,0.44811949258277606,0.7107425044091711
bigram_tfidf,identity,sparse,0.268888888888889,0.38987068736658426,0.29475379211719954,0.29963284844189036,0.4487181141746949,0.7228853615520282
unigram_tfidf,word2vec,sparse,0.27466666666666667,0.39959857786149044,0.30182811645174235,0.29356018329447103,0.4391084569287456,0.6881058201058201
bigram_tfidf,esa,sparse,0.25555555555555576,0.3724447000783467,0.28136957022529346,0.2736875253350787,0.41213407362959137,0.6587495590828926
bigram_tfidf,tfidf,sparse,0.2542222222222223,0.37274192630890624,0.2800612748811713,0.27036255502187706,0.4119727957587814,0.668753086419753
bigram_tfidf,lsa,sparse,0.25866666666666677,0.3752651178470404,0.2844633445902473,0.2661365808763168,0.3961050629786333,0.6287601410934744
unigram_tfidf,wordnet,sparse,0.24133333333333337,0.36043892837317276,0.26753892198521173,0.26161947464929886,0.4137811580120084,0.680694885361552
