method,precision@10,recall@10,fscore@10,map@10,ndcg@10,mrr@10,runtime_seconds
baseline_tfidf,0.28311111111111126,0.40937964388315623,0.30986622378540024,0.3060628165782077,0.4611320915388798,0.7460970017636687,0.17471766471862793
unordered_local_context_bow,0.29377777777777786,0.4251484499270912,0.3214953779731081,0.3297117915646946,0.4883179837818228,0.7779241622574954,379.84785771369934
idf_topk_legacy,0.28311111111111126,0.40937964388315623,0.30986622378540024,0.3060628165782077,0.4611320915388798,0.7460970017636687,13.717151165008545
idf_topk_extended,0.28311111111111126,0.40937964388315623,0.30986622378540024,0.3060628165782077,0.4611320915388798,0.7460970017636687,21.380438327789307
prf_term_pruning_legacy,0.2751111111111113,0.3922891269075817,0.29933622683333333,0.2943099127721827,0.4435663720001925,0.7253509700176369,46.06733846664429
prf_term_pruning_extended,0.28400000000000014,0.4098452523487647,0.3107009816201581,0.3066450959096934,0.46166999655312,0.746615520282187,357.5246114730835
