method,precision@10,recall@10,fscore@10,map@10,ndcg@10,mrr@10,runtime_seconds
baseline_tfidf,0.28311111111111126,0.40937964388315623,0.30986622378540024,0.3060628165782077,0.4611320915388798,0.7460970017636687,0.08077287673950195
word2vec_average,0.22977777777777808,0.33325477911647466,0.251917175458694,0.22298601957287464,0.3648888265822556,0.612700176366843,98.69227075576782
